#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
42.0,42,1630.88159
44.0,44,1634.979818
156.0,156,1642.038207
41.0,41,1645.339392
156.0,156,1648.452564
41.0,41,1651.683742
156.0,156,1654.989924
40.0,40,1658.792133
44.0,44,1663.05737
153.0,153,1669.617733
156.0,156,1676.101092
42.0,42,1680.222318
158.0,158,1686.878686
42.0,42,1690.965913
43.0,43,1694.947133
157.0,157,1701.619503
170.0,170,1708.499814
40.0,40,1712.485032
43.0,43,1716.42825
41.0,41,1720.176456
160.0,160,1726.646818
43.0,43,1730.534032
42.0,42,1734.450249
41.0,41,1738.47147
156.0,156,1745.236843
41.0,41,1749.036054
41.0,41,1753.000273
41.0,41,1756.76648
165.0,165,1764.098886
163.0,163,1771.212279
42.0,42,1775.123498
276.0,276,1784.907037
40.0,40,1788.621242
166.0,166,1795.880643
167.0,167,1803.158046
42.0,42,1807.105264
365.0,365,1819.272937
41.0,41,1823.161152
381.0,381,1835.879855
175.0,175,1843.177259
395.0,395,1855.363935
679.0,679,1873.273925
42.0,42,1877.165138
40.0,40,1881.281367
41.0,41,1884.948571
432.0,432,1897.308253
41.0,41,1901.133465
461.0,461,1914.839246
458.0,458,1928.574006
42.0,42,1932.937248
42.0,42,1937.784514
42.0,42,1942.03975
40.0,40,1946.459995
395.0,395,1959.40971
40.0,40,1963.651946
42.0,42,1967.779176
430.0,430,1981.621939
41.0,41,1985.781169
625.0,625,2004.509204
559.0,559,2023.124234
41.0,41,2027.415473
40.0,40,2031.552701
40.0,40,2035.916942
43.0,43,2040.020167
41.0,41,2044.374409
630.0,630,2063.723481
462.0,462,2079.591357
44.0,44,2083.901595
42.0,42,2091.506017
1538.0,1538,2097.742361
42.0,42,2101.080544
1538.0,1538,2107.265886
42.0,42,2110.369059
963.0,963,2139.261655
45.0,45,2143.568895
422.0,422,2157.419662
42.0,42,2161.465883
41.0,41,2165.945131
41.0,41,2169.894352
44.0,44,2174.444604
41.0,41,2178.73584
628.0,628,2196.522825
515.0,515,2211.899673
43.0,43,2216.254914
513.0,513,2231.642769
471.0,471,2246.306575
415.0,415,2259.297297
44.0,44,2263.514528
42.0,42,2267.84477
44.0,44,2272.036999
41.0,41,2276.421244
42.0,42,2280.487467
43.0,43,2284.924711
42.0,42,2288.949936
43.0,43,2293.280174
461.0,461,2307.873981
43.0,43,2312.251222
45.0,45,2316.669467
358.0,358,2329.534178
43.0,43,2333.601403
40.0,40,2337.959643
43.0,43,2341.839858
365.0,365,2355.046589
41.0,41,2359.014809
41.0,41,2363.510057
500.0,500,2379.391935
44.0,44,2383.596168
44.0,44,2387.949408
43.0,43,2392.087637
45.0,45,2396.390875
