#{"t_start": 1704028157.1055949, "env_id": "None"}
r,l,t
-57196.249962,4001,120.899432
-56575.370308,4001,215.521328
-56779.174963,4001,310.859127
-56971.179306,4001,406.727689
-57096.244486,4001,502.340725
-57130.790325,4001,595.701288
-57082.606596,4001,689.604381
-57053.56255,4001,782.084068
-49023.729674,4001,875.21473
-49092.787271,4001,968.935521
-49076.718812,4001,1061.944232
-49027.598692,4001,1156.314196
-49075.843061,4001,1250.115534
-49051.102485,4001,1343.274313
-49017.114685,4001,1449.629168
-49005.228151,4001,1543.016632
-48588.049275,4001,1637.008559
-48251.743339,4001,1731.775597
-48359.268415,4001,1825.974133
-47831.58212,4001,1919.800462
-48207.831406,4001,2014.235658
-48041.180636,4001,2109.048791
-49049.557928,4001,2202.919432
-49054.819219,4001,2297.756004
-49020.615489,4001,2393.12364
-48130.439993,4001,2487.948011
-47466.774098,4001,2582.471714
-48188.339846,4001,2678.178288
-47437.745282,4001,2773.509028
-46238.566365,4001,2871.692265
-47107.100021,4001,2966.190303
-53594.937735,4001,3058.535697
-56752.569051,4001,3150.687581
-57737.271094,4001,3243.361779
-45625.493117,4001,3335.350657
-30475.59135,4001,3428.72741
-38762.099877,4001,3521.83456
-42609.672462,4001,3615.055513
-41974.714151,4001,3708.70348
-42903.542821,4001,3802.305452
-46900.57813,4001,3896.391503
-40721.28565,4001,3989.638439
-46608.849112,4001,4082.656379
-44259.692475,4001,4175.984264
-39497.567067,4001,4271.086332
-27793.745825,4001,4366.715401
-33348.276615,4001,4460.021336
-33442.135286,4001,4553.940377
-46541.591423,4001,4647.900394
-51554.150346,4001,4741.492372
-41164.175188,4001,4835.311334
-44472.385982,4001,4928.428366
-19396.745425,4001,5026.85057
-41214.055906,4001,5119.989395
-44084.529122,4001,5212.388129
-44277.293855,4001,5305.046086
-35518.610811,4001,5402.299905
-41210.549202,4001,5501.213737
-28998.196555,4001,5597.488599
-37572.488902,4001,5696.614249
-45338.741497,4001,5796.929264
-43359.004109,4001,5896.657253
-39205.86426,4001,5996.574906
-31578.552641,4001,6098.14676
-40261.59716,4001,6198.008562
-38479.030239,4001,6295.882381
-26719.478283,4001,6390.545133
-32311.308416,4001,6485.541322
-31646.812786,4001,6580.796119
-48088.696092,4001,6759.474262
-57063.549037,4001,6857.445976
-57004.159131,4001,6956.361188
-56304.942309,4001,7053.968739
-48311.649082,4001,7155.521766
-48930.016373,4001,7254.080694
-47900.304043,4001,7347.831362
-47440.278146,4001,7441.572176
-47669.96309,4001,7536.521973
-47801.693523,4001,7630.688837
-48058.598683,4001,7724.971628
-47732.978853,4001,7819.27142
-47369.367391,4001,7914.418279
-46746.290805,4001,8007.788587
-56660.902967,4001,8101.85888
-49253.482954,4001,8204.435354
-46373.051539,4001,8300.387548
-45877.188005,4001,8396.431356
-55282.421145,4001,8491.650275
-46901.969739,4001,8589.191096
-41717.009688,4001,8684.9999
-45269.411219,4001,8781.821713
-48274.465887,4001,8876.850512
-52086.369071,4001,8971.972361
-30460.140057,4001,9067.069161
-39877.590145,4001,9162.570211
-41178.237489,4001,9257.826011
-49746.08822,4001,9353.482566
-40797.401247,4001,9450.050399
-36172.712685,4001,9545.338222
-36477.266052,4001,9642.569038
-46990.329465,4001,9740.426873
-31443.470696,4001,9841.259758
-51044.9821,4001,9937.216595
-29215.110762,4001,10032.914475
-36788.952889,4001,10128.666147
-38555.597029,4001,10224.758003
-37107.614823,4001,10320.493807
-41296.613864,4001,10416.184628
-47210.214923,4001,10511.838431
-51650.092327,4001,10607.73234
-42133.358946,4001,10703.077142
-43683.3332,4001,10798.128017
-46220.022627,4001,10893.034815
